ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:22:17
Stop time: 10:23:50
Overruns: 0  Errorframes: 0                                          
Baudrate: -"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:00:22.816";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:22.818";"101";"Std";"";"89 02 7F FA 81 2A 00 00"
"00:00:22.818";"31B";"Std";"";"79 00 00 00 00 00 00 00"
"00:00:22.820";"31E";"Std";"";"FF E3 3F 00 00 00 00 00"
"00:00:22.820";"1B000046";"Ext";"";"46 00 04 01 01 00 00 00"
"00:00:22.823";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:22.824";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:22.824";"530";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.824";"16A95493";"Ext";"";"00 00 00 00 00 00 00 00"
"00:00:22.825";"16A95499";"Ext";"";"00 00 00 00 00 00 00 80"
"00:00:22.825";"5E9";"Std";"";"00 22 02 00 00 00 00 00"
"00:00:22.825";"5EA";"Std";"";"00 00 00 36 F8 FE FB FF"
"00:00:22.826";"5EB";"Std";"";"00 00 FE FE FB 0F 80 FF"
"00:00:22.826";"17F00046";"Ext";"";"20 46 00 00 00 00 00 80"
"00:00:22.826";"668";"Std";"";"02 00 00 00 00 00 00 00"
"00:00:22.826";"3DA";"Std";"";"22 08 00 00 00 C8 01 00"
"00:00:22.827";"66E";"Std";"";"E0 00 38 00 FE 00 00 00"
"00:00:22.827";"671";"Std";"";"00 01 80 01 00 00 00 00"
"00:00:22.827";"1A55552B";"Ext";"";"00 00 00 00 00 00 00 00"
"00:00:22.828";"FD";"Std";"";"CE D2 1F 80 00 00 00 00"
"00:00:22.828";"6B5";"Std";"";"FD 83 FD 03 FD 00 FD 07"
"00:00:22.828";"17332910";"Ext";"";"3A 56 00 FF FF"
"00:00:22.829";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.830";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:00:22.831";"107";"Std";"";"00 00 FE F3 00 12 F6 40"
"00:00:22.834";"184";"Std";"";"00 00 00 00 00 00 04 00"
"00:00:22.834";"366";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.834";"3C0";"Std";"";"31 02 03 00"
"00:00:22.835";"3D5";"Std";"";"1A 0B 00 04 00 00 00 00"
"00:00:22.835";"3D6";"Std";"";"0B 00 00 00 00 00 00 00"
"00:00:22.835";"583";"Std";"";"00 10 80 00 00 44 40 00"
"00:00:22.835";"584";"Std";"";"C2 03 00 00 00 00"
"00:00:22.836";"588";"Std";"";"00 00 00 1E 00 00 00 00"
"00:00:22.836";"5A0";"Std";"";"00 05 80 20 78"
"00:00:22.836";"16A9540A";"Ext";"";"00 00 00 00 00 00 00 00"
"00:00:22.836";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:22.837";"5BB";"Std";"";"FE FE 00 00 00 00 00 00"
"00:00:22.837";"17330F10";"Ext";"";"33 DB 00 00 06 00"
"00:00:22.837";"5E1";"Std";"";"A3 2A 00 60 FE 00 00 00"
"00:00:22.837";"5F0";"Std";"";"64 00 64 00 00 64 00 00"
"00:00:22.838";"5F4";"Std";"";"00 00 64 00 80 00 40 00"
"00:00:22.838";"101";"Std";"";"A8 03 7F FA 81 28 00 00"
"00:00:22.838";"17F0000E";"Ext";"";"20 0E 00 00 00 00 00 80"
"00:00:22.838";"658";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.839";"65A";"Std";"";"00 00 02 08 00 00 3C 00"
"00:00:22.839";"6A6";"Std";"";"10 00"
"00:00:22.839";"6B0";"Std";"";"5D 02 BE 02 8D 75"
"00:00:22.840";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:22.842";"40";"Std";"";"DF 0D 00 00 C1 00 00 00"
"00:00:22.845";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:00:22.846";"3DC";"Std";"";"E0 00 32 0B 00 05 00 00"
"00:00:22.848";"FD";"Std";"";"BB D3 1F 80 00 00 00 00"
"00:00:22.849";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.850";"17332710";"Ext";"";"39 D4 FF"
"00:00:22.851";"107";"Std";"";"00 00 FE F3 00 12 FA 40"
"00:00:22.855";"30B";"Std";"";"10 27 81 00 08 00 00 10"
"00:00:22.856";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:22.857";"17332310";"Ext";"";"38 D1 00 00 E8 03 02"
"00:00:22.858";"101";"Std";"";"1B 04 7F FB 81 26 00 00"
"00:00:22.860";"391";"Std";"";"34 7B 22 3D 00 27 00 20"
"00:00:22.861";"3C7";"Std";"";"14 00 00 00 00 40 A0 00"
"00:00:22.863";"1B000010";"Ext";"";"10 00 04 01 19 00 00 00"
"00:00:22.865";"32A";"Std";"";"2D 03 00 00 48 02 00 00"
"00:00:22.866";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:00:22.868";"FD";"Std";"";"2D D4 1F 80 00 00 00 00"
"00:00:22.868";"31B";"Std";"";"AF 01 00 00 00 00 00 00"
"00:00:22.869";"31E";"Std";"";"52 E4 3F 00 00 00 00 00"
"00:00:22.870";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.870";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:00:22.871";"107";"Std";"";"00 00 FE F3 00 12 FF 40"
"00:00:22.877";"101";"Std";"";"7F 05 7F FB 81 26 00 00"
