ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:22:17
Stop time: 10:23:50
Overruns: 0  Errorframes: 0                                          
Baudrate: -"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:00:27.450";"65E";"Std";"";"00 00 04 02 00 00 00 00"
"00:00:27.451";"17F00014";"Ext";"";"20 14 00 00 00 00 00 00"
"00:00:27.452";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:27.453";"101";"Std";"";"9D 0A 7F FA 81 28 00 00"
"00:00:27.456";"640";"Std";"";"02 8E 7C AF 75 20 08 00"
"00:00:27.457";"391";"Std";"";"16 7B 28 2C 00 27 00 20"
"00:00:27.457";"3C7";"Std";"";"14 00 00 00 00 40 A0 00"
"00:00:27.459";"1B000010";"Ext";"";"10 00 04 01 19 00 00 00"
"00:00:27.460";"32A";"Std";"";"C3 0F 00 00 48 02 00 00"
"00:00:27.460";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:00:27.463";"FD";"Std";"";"26 DA 1F 80 00 00 00 00"
"00:00:27.463";"31B";"Std";"";"F5 0D 00 00 00 00 00 00"
"00:00:27.464";"31E";"Std";"";"CD E0 3F 00 00 00 00 00"
"00:00:27.465";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.467";"107";"Std";"";"00 00 FE 04 83 0E 04 49"
"00:00:27.472";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:27.472";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.473";"101";"Std";"";"18 0B 7F FB 81 29 00 00"
"00:00:27.479";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:00:27.479";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:00:27.480";"485";"Std";"";"00 06 40 28 43 D2 74 58"
"00:00:27.483";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:00:27.485";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.486";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.486";"40";"Std";"";"CC 0A 00 00 C1 00 00 00"
"00:00:27.487";"107";"Std";"";"00 00 FE FC 02 0E 04 49"
"00:00:27.487";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:27.490";"1B000014";"Ext";"";"14 00 04 01 01 00 00 00"
"00:00:27.492";"3DC";"Std";"";"E0 00 16 23 00 05 00 00"
"00:00:27.493";"101";"Std";"";"4A 0C 7F FB 81 26 00 00"
"00:00:27.499";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.500";"3E5";"Std";"";"57 1C 00 00 00 00 00 00"
"00:00:27.500";"30B";"Std";"";"10 24 81 00 08 00 00 10"
"00:00:27.500";"5F2";"Std";"";"00 00"
"00:00:27.502";"663";"Std";"";"60 28 20 0E 0C AD 23 00"
"00:00:27.503";"FD";"Std";"";"90 DC 1F 80 00 00 00 00"
"00:00:27.505";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.507";"107";"Std";"";"00 00 FE F3 02 0E 04 49"
"00:00:27.510";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:27.510";"32A";"Std";"";"81 00 00 00 48 02 00 00"
"00:00:27.512";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:27.513";"101";"Std";"";"2E 0D 7F FB 81 26 00 00"
"00:00:27.513";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:00:27.514";"31B";"Std";"";"B0 0E 00 00 00 00 00 00"
"00:00:27.515";"31E";"Std";"";"07 E1 3F 00 00 00 00 00"
"00:00:27.519";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:27.519";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:27.522";"3DA";"Std";"";"22 08 00 00 00 60 02 00"
"00:00:27.522";"569";"Std";"";"00 00 00 3E F8 10 00 00"
"00:00:27.523";"FD";"Std";"";"19 DD 1F 80 00 00 00 00"
"00:00:27.525";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.525";"3BE";"Std";"";"00 10 E5 01 C8 80 0C 80"
"00:00:27.527";"107";"Std";"";"00 00 FE EA 02 0E 04 49"
"00:00:27.529";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:00:27.529";"3C0";"Std";"";"C1 01 03 00"
"00:00:27.530";"3D5";"Std";"";"F5 0A 00 04 00 00 00 00"
"00:00:27.530";"3D6";"Std";"";"0A 00 00 00 00 00 00 00"
"00:00:27.532";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:27.532";"1B00004B";"Ext";"";"4B 00 04 01 11 00 00 01"
"00:00:27.533";"101";"Std";"";"37 0E 7F FB 81 27 00 00"
"00:00:27.535";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.535";"6B4";"Std";"";"01 4C 56 36 41 55 33 48"
"00:00:27.536";"1B00000C";"Ext";"";"0C 00 04 01 01 00 00 00"
"00:00:27.536";"40";"Std";"";"A8 0B 00 00 C1 00 00 00"
"00:00:27.542";"3DC";"Std";"";"E0 00 E2 21 00 05 00 00"
"00:00:27.543";"FD";"Std";"";"E6 DE 1F 80 00 00 00 00"
"00:00:27.545";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.546";"107";"Std";"";"00 00 FE E1 02 0E 04 49"
"00:00:27.550";"30B";"Std";"";"10 25 81 00 08 00 00 10"
"00:00:27.552";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:27.553";"101";"Std";"";"E6 0F 7F FB 81 26 00 00"
"00:00:27.556";"3C7";"Std";"";"FD 00 00 00 00 40 A0 00"
"00:00:27.557";"647";"Std";"";"B8 F2 FF 7F 00 00 00 62"
"00:00:27.557";"391";"Std";"";"14 7B 27 2A 00 27 00 20"
"00:00:27.560";"32A";"Std";"";"E5 01 00 00 48 02 00 00"
"00:00:27.562";"116";"Std";"";"C4 0E 00 00 00 00 00 FF"
"00:00:27.563";"FD";"Std";"";"71 DF 1F 80 00 00 00 00"
"00:00:27.564";"31B";"Std";"";"74 0F 00 00 00 00 00 00"
"00:00:27.565";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.565";"31E";"Std";"";"BD E2 3F 00 00 00 00 00"
"00:00:27.567";"107";"Std";"";"00 00 FE D9 82 0D 04 49"
"00:00:27.570";"592";"Std";"";"00 20 00 00 00 00 00 00"
"00:00:27.571";"17333110";"Ext";"";"3C 68 00"
"00:00:27.572";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:27.572";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.573";"101";"Std";"";"80 00 80 FB 81 2A 00 00"
"00:00:27.583";"FD";"Std";"";"0B D0 1F 80 00 00 00 00"
"00:00:27.585";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.585";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.586";"40";"Std";"";"BB 0C 00 00 C1 00 00 00"
"00:00:27.587";"107";"Std";"";"00 00 FE CF 82 0D 04 49"
"00:00:27.587";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:27.588";"520";"Std";"";"57 03 00 08 00 0A 00 00"
"00:00:27.592";"3DC";"Std";"";"E0 00 DC 20 00 05 00 00"
"00:00:27.593";"101";"Std";"";"85 01 7F FB 81 24 00 00"
"00:00:27.599";"1B00004A";"Ext";"";"4A 00 04 01 11 00 00 01"
"00:00:27.600";"394";"Std";"";"4A 1C 00 10 00 00 00 00"
"00:00:27.600";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.600";"30B";"Std";"";"10 26 81 00 08 00 00 10"
"00:00:27.600";"3E5";"Std";"";"63 1D 00 00 00 00 00 00"
"00:00:27.602";"663";"Std";"";"60 28 20 0E 0B AD 23 00"
"00:00:27.603";"FD";"Std";"";"01 D1 1F 80 00 00 00 00"
"00:00:27.604";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.606";"107";"Std";"";"00 00 FE C6 82 0D 04 49"
"00:00:27.607";"1B000031";"Ext";"";"31 00 04 03 01 00 00 00"
"00:00:27.610";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:27.610";"32A";"Std";"";"49 02 00 00 48 02 00 00"
"00:00:27.612";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:27.613";"101";"Std";"";"98 02 7F FB 81 28 00 00"
"00:00:27.613";"31B";"Std";"";"79 00 00 00 00 00 00 00"
"00:00:27.615";"31E";"Std";"";"FF E3 3F 00 00 00 00 00"
"00:00:27.616";"1B000046";"Ext";"";"46 00 04 01 01 00 00 00"
"00:00:27.618";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:27.619";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:27.619";"530";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.619";"5E9";"Std";"";"00 22 02 00 00 00 00 00"
"00:00:27.620";"668";"Std";"";"02 00 00 00 00 00 00 00"
"00:00:27.622";"3DA";"Std";"";"22 08 00 00 00 60 02 00"
"00:00:27.623";"FD";"Std";"";"CE D2 1F 80 00 00 00 00"
"00:00:27.624";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.625";"3BE";"Std";"";"00 10 E5 01 C8 80 0C 80"
"00:00:27.626";"107";"Std";"";"00 00 FE BE 82 0D 04 49"
"00:00:27.629";"3C0";"Std";"";"31 02 03 00"
"00:00:27.629";"3D5";"Std";"";"1A 0B 00 04 00 00 00 00"
"00:00:27.630";"3D6";"Std";"";"0B 00 00 00 00 00 00 00"
"00:00:27.630";"583";"Std";"";"00 10 80 00 00 44 40 00"
"00:00:27.630";"584";"Std";"";"3C 0B 00 00 00 00"
"00:00:27.630";"5A0";"Std";"";"00 05 80 20 78"
"00:00:27.631";"5E1";"Std";"";"A3 2A 00 60 FE 00 00 00"
"00:00:27.631";"5F0";"Std";"";"64 00 64 00 00 64 00 00"
"00:00:27.632";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:27.633";"101";"Std";"";"F8 03 7F FB 81 25 00 00"
"00:00:27.635";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.636";"40";"Std";"";"DF 0D 00 00 C1 00 00 00"
"00:00:27.640";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:00:27.640";"17330F10";"Ext";"";"43 D5 00 00 02 FF FF 00"
"00:00:27.642";"3DC";"Std";"";"E0 00 D0 1F 00 05 00 00"
"00:00:27.643";"FD";"Std";"";"BB D3 1F 80 00 00 00 00"
"00:00:27.644";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.647";"107";"Std";"";"00 00 FE B4 82 0D 04 49"
"00:00:27.650";"30B";"Std";"";"10 27 81 00 08 00 00 10"
"00:00:27.652";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:27.653";"101";"Std";"";"24 04 7F FB 81 23 00 00"
"00:00:27.653";"64A";"Std";"";"00 00 00 00"
"00:00:27.654";"17330A10";"Ext";"";"32 8E 04 04 00 00 07 01"
"00:00:27.656";"391";"Std";"";"14 7B 27 2A 00 27 00 20"
"00:00:27.657";"3C7";"Std";"";"14 00 00 00 00 40 A0 00"
"00:00:27.659";"1B000010";"Ext";"";"10 00 04 01 19 00 00 00"
"00:00:27.660";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:00:27.660";"32A";"Std";"";"2D 03 00 00 48 02 00 00"
"00:00:27.663";"FD";"Std";"";"2D D4 1F 80 00 00 00 00"
"00:00:27.663";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:00:27.663";"31B";"Std";"";"AF 01 00 00 00 00 00 00"
"00:00:27.664";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.665";"31E";"Std";"";"52 E4 3F 00 00 00 00 00"
"00:00:27.666";"107";"Std";"";"00 00 FE AB 02 0D 04 49"
"00:00:27.672";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:27.672";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.672";"17F0004B";"Ext";"";"20 4B 00 00 00 00 00 00"
"00:00:27.673";"101";"Std";"";"6E 05 7F FA 81 24 00 00"
"00:00:27.683";"FD";"Std";"";"B7 D5 1F 80 00 00 00 00"
"00:00:27.683";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:00:27.683";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:00:27.684";"485";"Std";"";"00 06 40 28 43 D2 74 58"
"00:00:27.685";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.685";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.686";"40";"Std";"";"73 0E 00 00 C1 00 00 00"
"00:00:27.687";"107";"Std";"";"00 00 FE A4 02 0D 04 49"
"00:00:27.687";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:27.690";"1B000014";"Ext";"";"14 00 04 01 01 00 00 00"
"00:00:27.690";"17330F10";"Ext";"";"43 FE 00 00 02 03 80 00"
"00:00:27.692";"3DC";"Std";"";"E0 00 CA 1E 00 05 00 00"
"00:00:27.692";"101";"Std";"";"93 06 7F FA 81 1F 00 00"
"00:00:27.699";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.700";"3E5";"Std";"";"E1 1E 00 00 00 00 00 00"
"00:00:27.700";"30B";"Std";"";"10 28 81 00 08 00 00 10"
"00:00:27.700";"5F2";"Std";"";"00 00"
"00:00:27.702";"663";"Std";"";"60 28 20 0E 0C AE 23 00"
"00:00:27.703";"FD";"Std";"";"A5 D6 1F 80 00 00 00 00"
"00:00:27.704";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.706";"107";"Std";"";"00 00 FE 9B 02 0D 04 49"
"00:00:27.710";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:27.710";"32A";"Std";"";"3E 04 00 00 48 02 00 00"
"00:00:27.712";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:27.713";"101";"Std";"";"47 07 7F FB 81 25 00 00"
"00:00:27.713";"31B";"Std";"";"CC 02 00 00 00 00 00 00"
"00:00:27.714";"31E";"Std";"";"2D E5 3F 00 00 00 00 00"
"00:00:27.718";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:27.719";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:27.722";"3DA";"Std";"";"22 08 00 00 00 68 02 00"
"00:00:27.723";"FD";"Std";"";"9F D7 1F 80 00 00 00 00"
"00:00:27.724";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.725";"3BE";"Std";"";"00 10 E5 01 C8 80 0C 80"
"00:00:27.726";"107";"Std";"";"00 00 FE 91 02 0D 04 49"
"00:00:27.727";"670";"Std";"";"14 10 00 00 FE 00 00 80"
"00:00:27.729";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:00:27.729";"3C0";"Std";"";"84 03 03 00"
"00:00:27.730";"3D5";"Std";"";"65 0C 00 04 00 00 00 00"
"00:00:27.730";"3D6";"Std";"";"0C 00 00 00 00 00 00 00"
"00:00:27.732";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:27.732";"1B00004B";"Ext";"";"4B 00 04 01 11 00 00 01"
"00:00:27.733";"101";"Std";"";"01 08 7F FB 81 28 00 00"
"00:00:27.735";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.735";"6B4";"Std";"";"00 46 90 93 FC 33 56 57"
"00:00:27.736";"1B00000C";"Ext";"";"0C 00 04 01 01 00 00 00"
"00:00:27.736";"40";"Std";"";"17 0F 00 00 C1 00 00 00"
"00:00:27.742";"3DC";"Std";"";"E0 00 C8 1D 00 05 00 00"
"00:00:27.743";"FD";"Std";"";"58 D8 1F 80 00 00 00 00"
"00:00:27.744";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.746";"107";"Std";"";"00 00 FE 8A 02 0D 04 49"
"00:00:27.750";"30B";"Std";"";"10 29 81 00 08 00 00 10"
"00:00:27.752";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:27.752";"101";"Std";"";"1B 09 7F FB 81 22 00 00"
"00:00:27.756";"391";"Std";"";"13 7B 25 2A 00 27 00 20"
"00:00:27.757";"3C7";"Std";"";"FD 00 00 00 00 40 A0 00"
"00:00:27.759";"394";"Std";"";"6C 1D 00 10 00 00 00 00"
"00:00:27.760";"32A";"Std";"";"5A 05 00 00 48 02 00 00"
"00:00:27.762";"116";"Std";"";"B3 08 00 00 00 00 00 FF"
"00:00:27.763";"FD";"Std";"";"6A D9 1F 80 00 00 00 00"
"00:00:27.763";"31B";"Std";"";"A0 03 00 00 00 00 00 00"
"00:00:27.764";"31E";"Std";"";"AA E6 3F 00 00 00 00 00"
"00:00:27.765";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.767";"107";"Std";"";"00 00 FE 82 02 0D 04 49"
"00:00:27.770";"592";"Std";"";"00 20 00 00 00 00 00 00"
"00:00:27.770";"17F00032";"Ext";"";"20 32 00 00 00 00 00 00"
"00:00:27.772";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:27.772";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.772";"101";"Std";"";"47 0A 7F FB 81 21 00 00"
"00:00:27.779";"481";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.780";"1A5554A8";"Ext";"";"90 31 42 68 B9 94 88 2C"
"00:00:27.782";"FD";"Std";"";"26 DA 1F 80 00 00 00 00"
"00:00:27.784";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.785";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.786";"40";"Std";"";"55 00 00 00 C1 00 00 00"
"00:00:27.786";"107";"Std";"";"00 00 FE 78 02 0D 04 49"
"00:00:27.787";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:27.788";"520";"Std";"";"44 04 00 08 00 0A 00 00"
"00:00:27.792";"3DC";"Std";"";"E0 00 C0 1C 00 05 00 00"
"00:00:27.792";"101";"Std";"";"96 0B 7F FB 81 20 00 00"
"00:00:27.797";"17F00031";"Ext";"";"20 00 00 00 00 00 00 00"
"00:00:27.799";"1B00004A";"Ext";"";"4A 00 04 01 11 00 00 01"
"00:00:27.800";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.800";"30B";"Std";"";"10 2A 81 00 08 00 00 10"
"00:00:27.800";"3E5";"Std";"";"D1 1F 00 00 00 00 00 00"
"00:00:27.800";"17F0004A";"Ext";"";"20 4A 00 00 00 00 00 00"
"00:00:27.801";"6AE";"Std";"";"00 00 00 00"
"00:00:27.802";"663";"Std";"";"60 28 20 0E 0C AE 23 00"
"00:00:27.802";"17333210";"Ext";"";"3C A6 01"
"00:00:27.802";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:00:27.805";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.806";"107";"Std";"";"00 00 FE 70 02 0D 04 49"
"00:00:27.807";"1B000031";"Ext";"";"31 00 04 03 01 00 00 00"
"00:00:27.810";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:27.810";"32A";"Std";"";"F6 06 00 00 48 02 00 00"
"00:00:27.812";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:27.812";"101";"Std";"";"30 0C 7F FB 81 21 00 00"
"00:00:27.813";"31B";"Std";"";"BC 04 00 00 00 00 00 00"
"00:00:27.815";"31E";"Std";"";"AC E7 3F 00 00 00 00 00"
"00:00:27.815";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:00:27.815";"1B000046";"Ext";"";"46 00 04 01 01 00 00 00"
"00:00:27.818";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:27.819";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:27.819";"530";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.819";"16A95499";"Ext";"";"00 00 00 00 00 00 00 80"
"00:00:27.820";"5E9";"Std";"";"00 22 02 00 00 00 00 00"
"00:00:27.820";"5EA";"Std";"";"00 00 00 36 F8 FE FB FF"
"00:00:27.820";"5EB";"Std";"";"00 00 FE FE FB 0F 80 FF"
"00:00:27.820";"17F00046";"Ext";"";"20 46 00 00 00 00 00 80"
"00:00:27.821";"668";"Std";"";"02 00 00 00 00 00 00 00"
"00:00:27.821";"1A55552B";"Ext";"";"00 00 00 00 00 00 00 00"
"00:00:27.821";"6B5";"Std";"";"FD 83 FD 03 FD 00 FD 07"
"00:00:27.822";"3DA";"Std";"";"22 08 00 00 00 78 02 00"
"00:00:27.822";"FD";"Std";"";"90 DC 1F 80 00 00 00 00"
"00:00:27.823";"17332910";"Ext";"";"80 08 3A 43 38 03 FF C0"
"00:00:27.824";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.824";"3BE";"Std";"";"00 10 E5 01 C8 80 0C 80"
"00:00:27.826";"107";"Std";"";"00 00 FE 67 02 0D 04 49"
"00:00:27.829";"184";"Std";"";"00 00 00 00 00 00 04 00"
"00:00:27.829";"366";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.829";"3C0";"Std";"";"FE 04 03 00"
"00:00:27.830";"3D5";"Std";"";"41 0D 00 04 00 00 00 00"
"00:00:27.830";"3D6";"Std";"";"0D 00 00 00 00 00 00 00"
"00:00:27.830";"583";"Std";"";"00 10 80 00 00 44 40 00"
"00:00:27.830";"584";"Std";"";"BF 0C 00 00 00 00"
"00:00:27.831";"588";"Std";"";"00 00 00 1E 00 00 00 00"
"00:00:27.831";"5A0";"Std";"";"00 06 80 20 78"
"00:00:27.831";"16A9540A";"Ext";"";"00 00 00 00 00 00 00 00"
"00:00:27.831";"5E1";"Std";"";"A3 2A 00 60 FE 00 00 00"
"00:00:27.832";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:00:27.832";"5BB";"Std";"";"FE FE 00 00 00 00 00 00"
"00:00:27.832";"5F0";"Std";"";"64 00 64 00 00 64 00 00"
"00:00:27.832";"5F4";"Std";"";"00 00 64 00 80 00 40 00"
"00:00:27.833";"101";"Std";"";"4F 0D 80 FB 81 28 00 00"
"00:00:27.833";"17F0000E";"Ext";"";"20 0E 00 00 00 00 00 80"
"00:00:27.833";"658";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.833";"65A";"Std";"";"00 00 02 08 00 00 3C 00"
"00:00:27.834";"6A6";"Std";"";"10 00"
"00:00:27.834";"6B0";"Std";"";"5D 02 BE 02 8D 75"
"00:00:27.835";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.836";"40";"Std";"";"31 01 00 00 C1 00 00 00"
"00:00:27.840";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:00:27.841";"3DC";"Std";"";"E0 00 C0 1B 00 05 00 00"
"00:00:27.842";"FD";"Std";"";"19 DD 1F 80 00 00 00 00"
"00:00:27.844";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.845";"17332710";"Ext";"";"39 CE 00"
"00:00:27.846";"107";"Std";"";"00 00 FE 5F 02 0D 04 49"
"00:00:27.850";"30B";"Std";"";"10 2B 81 00 08 00 00 10"
"00:00:27.851";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:00:27.852";"101";"Std";"";"13 0E 80 FB 81 2B 00 00"
"00:00:27.855";"391";"Std";"";"13 7B 25 29 00 27 00 20"
"00:00:27.856";"3C7";"Std";"";"14 00 00 00 00 40 A0 00"
"00:00:27.858";"1B000010";"Ext";"";"10 00 04 01 19 00 00 00"
"00:00:27.860";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:00:27.860";"32A";"Std";"";"92 07 00 00 48 02 00 00"
"00:00:27.862";"FD";"Std";"";"E6 DE 1F 80 00 00 00 00"
"00:00:27.863";"31B";"Std";"";"51 05 00 00 00 00 00 00"
"00:00:27.864";"31E";"Std";"";"E5 E8 3F 00 00 00 00 00"
"00:00:27.865";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.867";"107";"Std";"";"00 00 FE 57 02 0D 04 49"
"00:00:27.872";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:00:27.872";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.872";"101";"Std";"";"0D 0F 80 FB 81 2C 00 00"
"00:00:27.873";"17332910";"Ext";"";"C0 00 00 00 00"
"00:00:27.882";"FD";"Std";"";"71 DF 1F 80 00 00 00 00"
"00:00:27.883";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:00:27.884";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:00:27.884";"485";"Std";"";"00 06 40 28 43 D2 74 58"
"00:00:27.884";"585";"Std";"";"03 3C 20 7F 12 00 00 00"
"00:00:27.884";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.885";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:00:27.886";"40";"Std";"";"9D 02 00 00 C1 00 00 00"
"00:00:27.886";"107";"Std";"";"00 00 FE 50 82 0C 04 49"
"00:00:27.887";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:00:27.890";"1B000014";"Ext";"";"14 00 04 01 01 00 00 00"
"00:00:27.891";"3DC";"Std";"";"E0 00 B4 1A 00 05 00 00"
"00:00:27.892";"101";"Std";"";"35 00 80 FB 81 2B 00 00"
"00:00:27.896";"6B2";"Std";"";"0B 20 00 B0 98 7F B7 35"
"00:00:27.899";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:00:27.900";"3E5";"Std";"";"3A 10 00 00 00 00 00 00"
"00:00:27.900";"30B";"Std";"";"10 2C 81 00 08 00 00 10"
"00:00:27.900";"5F2";"Std";"";"00 00"
"00:00:27.900";"643";"Std";"";"00 02 1A 00 00 00 00 00"
"00:00:27.900";"16A95497";"Ext";"";"00 E0 E9 00 00 00 00 00"
"00:00:27.901";"663";"Std";"";"60 28 20 0E 0D AE 23 00"
"00:00:27.902";"FD";"Std";"";"0B D0 1F 80 00 00 00 00"
"00:00:27.904";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.906";"107";"Std";"";"00 00 FE 45 82 0C 04 49"
"00:00:27.910";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:27.910";"32A";"Std";"";"D0 08 00 00 48 02 00 00"
"00:00:27.911";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:27.912";"101";"Std";"";"BE 01 7F FB 81 2C 00 00"
"00:00:27.913";"31B";"Std";"";"31 06 00 00 00 00 00 00"
"00:00:27.914";"31E";"Std";"";"DA E9 3F 00 00 00 00 00"
"00:00:27.918";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:27.918";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:27.919";"394";"Std";"";"53 1E 00 10 00 00 00 00"
"00:00:27.921";"3DA";"Std";"";"22 08 00 00 00 90 02 00"
"00:00:27.922";"FD";"Std";"";"01 D1 1F 80 00 00 00 00"
"00:00:27.924";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:27.925";"3BE";"Std";"";"00 10 E5 01 C8 80 0C 80"
"00:00:27.926";"107";"Std";"";"00 00 FE 3C 82 0C 04 49"
"00:00:27.929";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:00:27.929";"3C0";"Std";"";"4B 05 03 00"
